Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Country,Georeference
ELEC,iPark 245 East 63rd Street - Tesla Destination,New York,NY,10025,E,40.76332,-73.962938,US,POINT (-73.962938 40.76332)
ELEC,Standard Parking 58 W 58th Street - Tesla Destination,New York,NY,10019,E,40.76476,-73.976153,US,POINT (-73.976153 40.76476)
ELEC,The Caledonia,New York,NY,10011,E,40.743832,-74.006578,US,POINT (-74.006578 40.743832)
ELEC,Prime Parking Systems - 155 E 68th Street - Tesla Destination,New York,NY,10065,E,40.767743,-73.963665,US,POINT (-73.963665 40.767743)
ELEC,1 WATERLINE STATION#4,New York,NY,10069,E,40.77292,-73.992546,US,POINT (-73.992546 40.77292)
ELEC,Icon Parking 150 E 58th Street - Tesla Destination,New York,NY,10155,E,40.76139,-73.968269,US,POINT (-73.968269 40.76139)
ELEC,Travelers Parking,New York,NY,10014,E,40.73491,-74.001634,US,POINT (-74.001634 40.73491)
ELEC,Rapidpark 210 W 102nd Street - Tesla Destination,New York,NY,10025,E,40.798108,-73.968204,US,POINT (-73.968204 40.798108)
ELEC,iPark 3 E 67th Street - Tesla Destination,New York,NY,10065,E,40.769061,-73.96876,US,POINT (-73.96876 40.769061)
ELEC,Icon Parking E 48th Street - Tesla Destination,New York,NY,10017,E,40.753079,-73.968032,US,POINT (-73.968032 40.753079)
ELEC,Icon Parking 203 E 61 Street - Tesla Destination,New York,NY,10021,E,40.762678,-73.965447,US,POINT (-73.965447 40.762678)
ELEC,Bridge Towers Location 1,New York,NY,10033,E,40.848202,-73.935857,US,POINT (-73.935857 40.848202)
ELEC,333 E 75th St.,New York,NY,10021,E,40.7702,-73.95525,US,POINT (-73.95525 40.7702)
ELEC,E 47th Street - Tesla Supercharger,New York,NY,10017,E,40.753356,-73.971685,US,POINT (-73.971685 40.753356)
ELEC,Waldorf Astoria New York - Tesla Destination,New York,NY,10022,E,40.756722,-73.97406,US,POINT (-73.97406 40.756722)
ELEC,Parkright 300 E 77th St - Tesla Destination,New York,NY,10075,E,40.771794,-73.955624,US,POINT (-73.955624 40.771794)
ELEC,Icon Parking 40 W 26th Street - Tesla Destination,New York,NY,10010,E,40.744467,-73.990662,US,POINT (-73.990662 40.744467)
ELEC,Rapidpark 70 Riverside Dr - Tesla Destination,New York,NY,10024,E,40.784831,-73.982085,US,POINT (-73.982085 40.784831)
